city,state,skill,experience,demand_index,cost_of_living,wage
Hyderabad,Telangana,Painter,12,0.97,19569,1931.88
Pune,Maharashtra,Painter,14,1.07,9561,1870.72
Hyderabad,Telangana,Painter,11,0.76,8846,1381.92
Chennai,Tamil Nadu,Mason,15,0.7,19258,1917.16
Bangalore,Karnataka,Mason,6,0.63,12145,1324.4
Delhi,Delhi,Electrician,14,0.87,17084,1971.18
Pune,Maharashtra,Mason,8,1.0,11574,1525.48
Chennai,Tamil Nadu,Electrician,6,0.95,14018,1104.86
Bangalore,Karnataka,Carpenter,5,1.26,16842,1202.84
Delhi,Delhi,Painter,8,1.38,10883,1515.66
Pune,Maharashtra,Electrician,7,0.85,8566,1336.82
Bangalore,Karnataka,Mason,8,0.58,15378,1532.56
Chennai,Tamil Nadu,Electrician,8,1.4,19899,1745.98
Delhi,Delhi,Carpenter,10,0.97,13055,1329.6
Pune,Maharashtra,Electrician,8,1.33,17105,1463.6
Hyderabad,Telangana,Carpenter,11,1.4,10282,1519.64
Hyderabad,Telangana,Painter,15,0.62,17320,1644.4
Chennai,Tamil Nadu,Electrician,14,0.82,19360,1838.2
Delhi,Delhi,Mason,10,0.6,11230,1499.6
Delhi,Delhi,Carpenter,7,1.41,16254,1456.58
Bangalore,Karnataka,Painter,11,1.35,13124,1775.98
Chennai,Tamil Nadu,Painter,3,1.27,17813,1447.76
Delhi,Delhi,Electrician,1,1.33,9097,1109.44
Bangalore,Karnataka,Mason,9,1.33,12300,1669.5
Hyderabad,Telangana,Painter,4,1.09,15508,1363.66
Pune,Maharashtra,Carpenter,15,0.81,15189,2002.28
Hyderabad,Telangana,Carpenter,15,0.85,18328,2040.06
Chennai,Tamil Nadu,Carpenter,1,1.19,9396,777.42
Chennai,Tamil Nadu,Carpenter,1,0.74,10700,1045.0
Hyderabad,Telangana,Mason,10,0.87,12831,1614.12
Delhi,Delhi,Carpenter,3,0.85,14044,1054.38
Pune,Maharashtra,Mason,10,1.02,8680,1602.6
Pune,Maharashtra,Electrician,9,1.23,12573,1560.96
Hyderabad,Telangana,Carpenter,2,0.51,12540,988.3
Pune,Maharashtra,Carpenter,11,1.02,17324,1676.48
Bangalore,Karnataka,Electrician,9,0.58,10704,1273.08
Hyderabad,Telangana,Painter,2,1.42,13884,1058.68
Hyderabad,Telangana,Electrician,8,1.35,12206,1523.62
Chennai,Tamil Nadu,Mason,15,1.33,13407,1727.64
Hyderabad,Telangana,Painter,4,0.75,11347,925.44
Delhi,Delhi,Electrician,1,1.41,17507,965.64
Chennai,Tamil Nadu,Carpenter,2,1.33,15605,1068.6
Delhi,Delhi,Carpenter,9,1.05,17326,1543.02
Pune,Maharashtra,Carpenter,1,1.22,8376,853.52
Chennai,Tamil Nadu,Painter,4,0.67,16204,1203.58
Chennai,Tamil Nadu,Electrician,2,0.94,8351,728.02
Chennai,Tamil Nadu,Mason,5,1.23,15607,1362.64
Chennai,Tamil Nadu,Carpenter,8,1.19,15183,1543.16
Hyderabad,Telangana,Painter,10,1.38,8979,1706.58
Chennai,Tamil Nadu,Carpenter,11,0.52,16331,1694.62
Hyderabad,Telangana,Electrician,12,0.94,16122,1582.44
Pune,Maharashtra,Electrician,6,0.79,19483,1221.16
Delhi,Delhi,Electrician,11,1.4,14427,1640.54
Delhi,Delhi,Mason,15,0.87,11194,1711.38
Bangalore,Karnataka,Carpenter,9,0.68,11318,1158.36
Delhi,Delhi,Painter,1,1.35,19390,1261.3
Hyderabad,Telangana,Mason,5,1.23,16785,1534.2
Pune,Maharashtra,Painter,8,1.0,9406,1245.12
Chennai,Tamil Nadu,Painter,1,1.21,17525,950.0
Bangalore,Karnataka,Painter,6,0.82,11855,1273.1
Hyderabad,Telangana,Electrician,5,1.28,19061,1371.22
Hyderabad,Telangana,Mason,1,1.48,16506,1199.12
Pune,Maharashtra,Carpenter,1,0.88,9903,697.06
Pune,Maharashtra,Carpenter,4,0.71,18402,1085.54
Hyderabad,Telangana,Carpenter,9,0.96,15544,1376.88
Chennai,Tamil Nadu,Mason,6,1.08,17903,1547.06
Bangalore,Karnataka,Painter,4,1.24,10505,1327.1
Bangalore,Karnataka,Mason,3,0.59,17331,927.12
Bangalore,Karnataka,Electrician,12,0.78,10302,1352.04
Bangalore,Karnataka,Painter,3,0.83,18439,1331.28
Chennai,Tamil Nadu,Carpenter,15,1.45,19206,1900.62
Hyderabad,Telangana,Mason,3,1.25,17161,1079.72
Pune,Maharashtra,Carpenter,13,1.21,17722,1702.94
Hyderabad,Telangana,Electrician,8,1.09,17526,1408.02
Chennai,Tamil Nadu,Carpenter,14,1.25,19307,1811.64
Bangalore,Karnataka,Mason,4,1.35,8026,1204.02
Delhi,Delhi,Painter,9,1.47,17924,1865.98
Hyderabad,Telangana,Painter,13,0.8,8895,1386.9
Bangalore,Karnataka,Painter,10,1.42,8504,1358.08
Hyderabad,Telangana,Painter,12,1.42,15297,1788.94
Chennai,Tamil Nadu,Painter,4,0.63,9279,893.08
Bangalore,Karnataka,Carpenter,1,0.96,19843,1269.86
Hyderabad,Telangana,Painter,1,1.05,11602,1055.54
Chennai,Tamil Nadu,Electrician,2,0.8,19036,986.72
Hyderabad,Telangana,Carpenter,4,0.59,12309,942.68
Chennai,Tamil Nadu,Painter,2,1.37,18125,1369.0
Chennai,Tamil Nadu,Painter,5,1.11,10889,1391.28
Bangalore,Karnataka,Electrician,1,0.55,12028,790.06
Chennai,Tamil Nadu,Electrician,13,0.91,15767,1884.84
Bangalore,Karnataka,Electrician,1,1.33,15885,1195.2
Chennai,Tamil Nadu,Mason,2,1.05,14178,1135.06
Pune,Maharashtra,Carpenter,4,0.91,11550,1229.5
Hyderabad,Telangana,Carpenter,5,1.45,16523,1277.96
Hyderabad,Telangana,Mason,12,1.37,19511,1903.72
Bangalore,Karnataka,Carpenter,6,1.21,11748,1271.46
Hyderabad,Telangana,Electrician,14,1.48,14565,1720.3
Pune,Maharashtra,Carpenter,13,0.98,9198,1671.96
Delhi,Delhi,Electrician,8,1.06,14602,1579.04
Hyderabad,Telangana,Mason,2,1.4,17067,1075.34
Delhi,Delhi,Mason,3,1.28,8041,970.82
Chennai,Tamil Nadu,Mason,9,1.05,14133,1286.16
Hyderabad,Telangana,Carpenter,8,0.72,9407,1368.14
Delhi,Delhi,Carpenter,10,0.88,14617,1435.34
Delhi,Delhi,Electrician,8,1.17,16092,1554.34
Pune,Maharashtra,Carpenter,5,0.62,17009,1082.18
Pune,Maharashtra,Carpenter,11,1.3,17207,1660.14
Delhi,Delhi,Painter,6,0.52,15271,1326.42
Delhi,Delhi,Mason,11,1.06,19528,1845.56
Chennai,Tamil Nadu,Mason,11,1.43,15941,1594.32
Delhi,Delhi,Painter,5,1.14,17859,1199.18
Pune,Maharashtra,Electrician,5,0.64,14453,1331.06
Hyderabad,Telangana,Electrician,9,0.73,8182,1224.14
Hyderabad,Telangana,Carpenter,8,1.47,10106,1250.62
Chennai,Tamil Nadu,Mason,8,0.74,16897,1520.94
Pune,Maharashtra,Carpenter,5,1.4,9596,1176.92
Bangalore,Karnataka,Carpenter,12,0.54,12320,1568.4
Pune,Maharashtra,Electrician,6,1.29,9083,1303.16
Chennai,Tamil Nadu,Mason,7,1.38,16260,1575.2
Hyderabad,Telangana,Mason,12,1.16,19851,1847.02
Pune,Maharashtra,Mason,7,0.62,11894,1307.88
Chennai,Tamil Nadu,Electrician,3,1.31,16625,1261.0
Bangalore,Karnataka,Painter,7,0.97,11439,1403.28
Pune,Maharashtra,Carpenter,11,1.42,17288,1764.76
Chennai,Tamil Nadu,Painter,4,1.45,13652,1440.54
Hyderabad,Telangana,Painter,5,1.34,12045,1152.9
Pune,Maharashtra,Painter,10,0.6,15719,1477.38
Delhi,Delhi,Carpenter,1,1.42,16156,1245.12
Hyderabad,Telangana,Carpenter,1,1.15,13687,942.24
Bangalore,Karnataka,Painter,8,0.7,12302,1300.04
Hyderabad,Telangana,Painter,8,1.35,17861,1609.72
Chennai,Tamil Nadu,Painter,9,1.31,11416,1374.82
Delhi,Delhi,Carpenter,6,0.62,12294,1311.88
Hyderabad,Telangana,Electrician,14,0.61,9361,1769.72
Delhi,Delhi,Carpenter,7,0.67,12512,1356.74
Delhi,Delhi,Mason,7,1.08,12370,1309.4
Delhi,Delhi,Mason,4,0.57,8620,1099.9
Bangalore,Karnataka,Carpenter,8,0.79,16606,1581.62
Pune,Maharashtra,Electrician,13,1.12,11158,1638.16
Pune,Maharashtra,Mason,9,0.78,15781,1452.62
Hyderabad,Telangana,Mason,9,1.46,9129,1503.58
Chennai,Tamil Nadu,Carpenter,11,1.36,8519,1461.38
Pune,Maharashtra,Mason,14,0.98,13130,1615.6
Delhi,Delhi,Carpenter,4,1.06,11340,1218.8
Delhi,Delhi,Carpenter,14,1.37,17384,1808.18
Hyderabad,Telangana,Mason,14,1.22,9829,1673.58
Chennai,Tamil Nadu,Painter,3,1.36,14308,1074.16
Pune,Maharashtra,Carpenter,14,1.01,11946,1724.42
Delhi,Delhi,Painter,9,0.59,8052,1083.54
Pune,Maharashtra,Carpenter,4,1.31,13104,1095.58
Pune,Maharashtra,Mason,14,0.98,17659,1644.18
Bangalore,Karnataka,Carpenter,9,0.66,13212,1552.24
Chennai,Tamil Nadu,Mason,13,0.79,13030,1648.1
Hyderabad,Telangana,Carpenter,3,1.33,10818,948.86
Delhi,Delhi,Painter,5,1.32,15555,1240.1
Hyderabad,Telangana,Painter,14,1.33,14747,1853.44
Pune,Maharashtra,Carpenter,2,1.29,18859,1031.68
Chennai,Tamil Nadu,Painter,2,0.74,12412,1119.24
Delhi,Delhi,Electrician,5,0.77,8941,1160.32
Hyderabad,Telangana,Carpenter,5,1.47,17042,1370.34
Hyderabad,Telangana,Painter,11,1.41,10797,1690.44
Hyderabad,Telangana,Painter,6,0.81,15515,1302.8
Bangalore,Karnataka,Electrician,10,1.36,16829,1792.58
Pune,Maharashtra,Mason,8,0.67,19175,1530.0
Hyderabad,Telangana,Carpenter,7,1.45,17545,1532.4
Delhi,Delhi,Painter,2,1.23,8042,1057.34
Chennai,Tamil Nadu,Painter,5,1.03,9470,1222.9
Delhi,Delhi,Mason,13,0.98,13365,1751.3
Hyderabad,Telangana,Mason,3,0.89,11983,1125.16
Pune,Maharashtra,Carpenter,3,0.87,12057,936.64
Pune,Maharashtra,Carpenter,10,1.42,13223,1435.46
Chennai,Tamil Nadu,Carpenter,7,0.55,10818,1297.86
Hyderabad,Telangana,Mason,12,0.51,10948,1333.46
Bangalore,Karnataka,Painter,4,1.23,19202,1334.54
Delhi,Delhi,Electrician,12,0.8,14234,1726.68
Delhi,Delhi,Mason,8,1.44,10445,1435.9
Hyderabad,Telangana,Electrician,1,0.79,10175,889.0
Hyderabad,Telangana,Painter,6,0.98,14268,1469.36
Delhi,Delhi,Carpenter,8,1.35,12537,1457.24
Pune,Maharashtra,Mason,7,0.71,13610,1166.7
Delhi,Delhi,Carpenter,12,0.76,9569,1389.38
Chennai,Tamil Nadu,Carpenter,15,1.27,11228,1994.06
Pune,Maharashtra,Carpenter,9,0.96,16871,1712.42
Chennai,Tamil Nadu,Electrician,1,1.5,11738,1069.76
Hyderabad,Telangana,Painter,4,1.08,12029,1175.58
Delhi,Delhi,Painter,11,0.66,15475,1354.5
Chennai,Tamil Nadu,Painter,2,0.95,9549,770.48
Hyderabad,Telangana,Carpenter,11,1.01,18684,1849.18
Chennai,Tamil Nadu,Mason,11,0.78,13629,1623.58
Pune,Maharashtra,Painter,14,1.15,19844,1999.38
Pune,Maharashtra,Carpenter,12,1.18,12453,1562.06
Bangalore,Karnataka,Carpenter,8,0.75,17404,1477.58
Bangalore,Karnataka,Electrician,1,1.24,11890,1144.8
Delhi,Delhi,Carpenter,9,1.21,9002,1276.54
Chennai,Tamil Nadu,Carpenter,4,0.67,14966,1141.82
Hyderabad,Telangana,Carpenter,1,1.35,16727,1314.04
Bangalore,Karnataka,Electrician,14,1.37,12544,1769.38
Delhi,Delhi,Carpenter,10,1.41,16605,1781.6
Bangalore,Karnataka,Mason,12,1.49,16553,1872.56
Bangalore,Karnataka,Mason,14,1.35,16853,1839.56
Delhi,Delhi,Mason,1,0.98,11558,1033.16
Delhi,Delhi,Electrician,5,1.28,17663,1213.26
Bangalore,Karnataka,Painter,6,1.44,12397,1209.94
Delhi,Delhi,Carpenter,14,1.42,8196,1847.92
Bangalore,Karnataka,Electrician,8,1.07,10318,1470.86
Delhi,Delhi,Carpenter,11,1.04,13576,1626.52
Chennai,Tamil Nadu,Electrician,7,0.63,9243,1337.36
Delhi,Delhi,Painter,4,1.04,14518,1049.36
Pune,Maharashtra,Mason,3,1.06,12305,1035.1
Chennai,Tamil Nadu,Carpenter,1,0.69,8822,973.94
Delhi,Delhi,Painter,9,0.72,8827,1125.54
Chennai,Tamil Nadu,Mason,1,0.77,13194,827.38
Hyderabad,Telangana,Mason,7,1.06,8687,1389.74
Pune,Maharashtra,Painter,1,1.03,11908,911.66
Chennai,Tamil Nadu,Electrician,7,0.97,17338,1538.26
Delhi,Delhi,Mason,5,0.82,12436,990.72
Chennai,Tamil Nadu,Mason,3,0.55,16784,1089.18
Hyderabad,Telangana,Electrician,9,0.56,19159,1553.18
Pune,Maharashtra,Mason,11,0.68,10266,1570.32
Bangalore,Karnataka,Painter,6,1.01,13768,1381.86
Bangalore,Karnataka,Electrician,5,1.21,16464,1262.78
Hyderabad,Telangana,Mason,4,1.3,14999,1130.98
Hyderabad,Telangana,Electrician,3,0.99,8679,1056.08
Chennai,Tamil Nadu,Mason,10,0.76,9913,1354.26
Chennai,Tamil Nadu,Carpenter,1,1.37,17102,1112.54
Hyderabad,Telangana,Painter,5,1.29,16437,1376.24
Pune,Maharashtra,Electrician,10,1.12,9407,1489.14
Hyderabad,Telangana,Carpenter,4,0.71,9508,822.66
Hyderabad,Telangana,Electrician,5,0.8,18525,1456.5
Hyderabad,Telangana,Painter,15,1.48,9659,1701.18
Bangalore,Karnataka,Painter,1,1.11,10198,1086.46
Delhi,Delhi,Painter,4,1.4,17374,1175.48
Delhi,Delhi,Electrician,13,1.04,13744,1808.88
Pune,Maharashtra,Carpenter,12,0.75,14929,1661.08
Chennai,Tamil Nadu,Mason,12,1.46,13901,1775.02
Chennai,Tamil Nadu,Mason,2,0.92,11234,1156.68
Delhi,Delhi,Mason,13,1.46,8136,1654.72
Hyderabad,Telangana,Carpenter,13,1.4,16227,1837.54
Bangalore,Karnataka,Mason,7,1.0,12733,1284.66
Delhi,Delhi,Electrician,12,1.42,18477,1730.54
Chennai,Tamil Nadu,Electrician,5,1.26,16975,1505.5
Hyderabad,Telangana,Carpenter,9,1.23,11600,1322.5
Bangalore,Karnataka,Electrician,14,0.79,9849,1616.48
Delhi,Delhi,Mason,8,1.38,15320,1589.4
Chennai,Tamil Nadu,Mason,9,0.64,16854,1412.08
Pune,Maharashtra,Painter,11,1.4,15883,1850.66
Hyderabad,Telangana,Painter,3,1.03,8614,941.78
Delhi,Delhi,Electrician,13,1.25,14571,1818.92
Hyderabad,Telangana,Electrician,1,0.54,10828,655.56
Bangalore,Karnataka,Carpenter,12,1.19,13910,1562.7
Pune,Maharashtra,Painter,8,0.88,18317,1499.34
Pune,Maharashtra,Electrician,10,0.54,9505,1306.1
Chennai,Tamil Nadu,Painter,14,1.19,9495,1820.4
Pune,Maharashtra,Painter,11,0.81,10354,1319.58
Pune,Maharashtra,Mason,11,0.78,16910,1586.2
Delhi,Delhi,Painter,7,0.98,17474,1245.48
Pune,Maharashtra,Carpenter,14,1.23,14815,1711.8
Hyderabad,Telangana,Electrician,1,1.45,14054,1116.58
Bangalore,Karnataka,Painter,4,0.82,8521,990.42
Delhi,Delhi,Mason,14,1.2,14219,1735.38
Delhi,Delhi,Electrician,1,1.1,14654,1036.08
Hyderabad,Telangana,Mason,2,0.76,18501,1005.02
Delhi,Delhi,Painter,14,1.05,8805,1559.6
Chennai,Tamil Nadu,Electrician,1,0.67,11599,822.48
Bangalore,Karnataka,Carpenter,7,0.87,8187,1231.24
Chennai,Tamil Nadu,Carpenter,9,0.84,13115,1384.3
Delhi,Delhi,Electrician,14,1.49,12556,2024.62
Delhi,Delhi,Painter,13,1.31,12856,1954.62
Pune,Maharashtra,Painter,13,1.08,9824,1621.48
Chennai,Tamil Nadu,Mason,5,1.25,19713,1278.76
Hyderabad,Telangana,Electrician,1,1.0,19649,1272.98
Pune,Maharashtra,Electrician,10,1.41,16855,1728.6
Pune,Maharashtra,Carpenter,6,0.97,14601,1329.52
Bangalore,Karnataka,Painter,10,0.57,14821,1435.92
Delhi,Delhi,Carpenter,14,0.89,13081,1781.12
Hyderabad,Telangana,Mason,11,1.22,19277,1802.54
Hyderabad,Telangana,Painter,2,1.38,16456,1010.12
Hyderabad,Telangana,Carpenter,7,1.0,8779,1318.58
Hyderabad,Telangana,Carpenter,9,0.82,15015,1578.3
Bangalore,Karnataka,Carpenter,8,1.16,18267,1547.34
Bangalore,Karnataka,Mason,14,1.02,9282,1556.64
Delhi,Delhi,Electrician,14,0.83,17723,1687.96
Bangalore,Karnataka,Carpenter,6,1.43,14400,1231.5
Pune,Maharashtra,Painter,2,0.59,16306,1177.62
Hyderabad,Telangana,Painter,4,0.79,12413,1072.76
Pune,Maharashtra,Carpenter,8,0.82,9830,1357.6
Hyderabad,Telangana,Mason,14,1.15,9330,1535.1
Delhi,Delhi,Carpenter,3,1.14,9627,1117.54
Chennai,Tamil Nadu,Electrician,14,0.8,10663,1556.26
Bangalore,Karnataka,Electrician,10,0.85,19483,1424.16
Delhi,Delhi,Carpenter,15,1.19,8274,1600.98
Pune,Maharashtra,Painter,4,0.92,19915,1213.3
Bangalore,Karnataka,Mason,6,1.12,12512,1150.24
Chennai,Tamil Nadu,Painter,1,0.58,19933,1023.66
Delhi,Delhi,Carpenter,12,0.89,10655,1430.6
Delhi,Delhi,Painter,5,0.58,12742,1022.84
Pune,Maharashtra,Mason,9,1.12,19303,1473.06
Delhi,Delhi,Carpenter,14,0.71,15302,1672.54
Hyderabad,Telangana,Mason,5,0.75,9516,990.82
Bangalore,Karnataka,Electrician,6,0.8,13365,1132.3
Pune,Maharashtra,Painter,6,1.08,19005,1602.1
Delhi,Delhi,Painter,1,1.0,14982,1150.64
Bangalore,Karnataka,Painter,1,0.55,9579,889.08
Delhi,Delhi,Mason,8,0.64,17145,1430.9
Pune,Maharashtra,Mason,4,0.85,10005,1180.6
Delhi,Delhi,Electrician,15,0.94,8699,1875.98
Hyderabad,Telangana,Electrician,3,0.69,14715,957.8
Delhi,Delhi,Carpenter,5,1.21,9036,1180.22
Chennai,Tamil Nadu,Carpenter,6,0.86,20000,1385.0
Chennai,Tamil Nadu,Electrician,10,0.7,17223,1478.46
Pune,Maharashtra,Electrician,12,1.13,15927,1584.04
Bangalore,Karnataka,Carpenter,14,1.25,13236,1800.22
Hyderabad,Telangana,Electrician,12,0.77,11608,1604.66
Chennai,Tamil Nadu,Mason,14,0.9,15039,1646.78
Chennai,Tamil Nadu,Mason,6,1.28,11908,1199.16
Hyderabad,Telangana,Painter,14,1.49,16764,1817.78
Bangalore,Karnataka,Electrician,5,1.38,9881,1350.62
Pune,Maharashtra,Electrician,3,1.36,18635,1259.7
Bangalore,Karnataka,Electrician,6,1.39,10538,1499.26
Pune,Maharashtra,Painter,9,1.35,10836,1520.22
Pune,Maharashtra,Carpenter,12,0.52,19799,1484.98
Hyderabad,Telangana,Mason,7,1.09,18850,1558.5
Bangalore,Karnataka,Electrician,4,1.15,10326,1197.02
Chennai,Tamil Nadu,Painter,13,0.69,15285,1637.2
Bangalore,Karnataka,Painter,11,1.45,14220,1843.9
Chennai,Tamil Nadu,Electrician,8,1.28,13128,1632.56
Bangalore,Karnataka,Electrician,1,0.96,10769,857.38
Pune,Maharashtra,Carpenter,11,0.66,10625,1396.5
Pune,Maharashtra,Mason,2,1.16,11676,1082.52
Chennai,Tamil Nadu,Mason,4,1.32,12518,1152.36
Bangalore,Karnataka,Mason,4,1.16,14050,1328.0
Chennai,Tamil Nadu,Mason,1,0.54,19418,1155.36
Bangalore,Karnataka,Electrician,1,0.76,10589,839.78
Pune,Maharashtra,Mason,8,1.33,11874,1552.98
Pune,Maharashtra,Painter,9,1.31,15007,1616.64
Pune,Maharashtra,Electrician,8,0.74,15882,1552.64
Pune,Maharashtra,Carpenter,9,1.27,10946,1316.42
Pune,Maharashtra,Electrician,8,1.5,19658,1816.16
Delhi,Delhi,Electrician,13,0.98,15812,1858.24
Bangalore,Karnataka,Carpenter,12,1.02,16331,1712.62
Pune,Maharashtra,Mason,3,0.82,18900,1107.0
Delhi,Delhi,Mason,10,1.09,8266,1613.82
Bangalore,Karnataka,Electrician,3,0.56,17826,1185.52
Pune,Maharashtra,Painter,1,0.73,16755,842.6
Chennai,Tamil Nadu,Mason,9,0.76,13929,1564.58
Pune,Maharashtra,Painter,13,0.57,17993,1755.36
Chennai,Tamil Nadu,Carpenter,8,1.04,8249,1247.98
Pune,Maharashtra,Painter,8,0.73,16717,1297.84
Hyderabad,Telangana,Carpenter,13,0.85,18288,1737.26
Delhi,Delhi,Mason,11,0.92,18632,1570.64
Delhi,Delhi,Carpenter,5,1.13,16037,1128.24
Chennai,Tamil Nadu,Electrician,15,1.16,8129,1592.58
Hyderabad,Telangana,Mason,6,1.39,12543,1440.36
Delhi,Delhi,Electrician,3,1.26,16783,1419.66
Pune,Maharashtra,Painter,2,1.37,16255,1326.6
Bangalore,Karnataka,Painter,4,0.54,19076,1038.52
Pune,Maharashtra,Carpenter,7,0.51,13793,1035.36
Delhi,Delhi,Carpenter,4,0.8,15256,1316.12
Delhi,Delhi,Carpenter,6,0.8,14501,1388.02
Delhi,Delhi,Electrician,9,1.28,19364,1805.28
Chennai,Tamil Nadu,Electrician,8,0.68,15852,1488.04
Hyderabad,Telangana,Mason,13,0.94,19838,1670.76
Chennai,Tamil Nadu,Painter,3,1.11,12971,1151.92
Delhi,Delhi,Mason,13,0.55,19264,1883.78
Pune,Maharashtra,Mason,15,1.21,15237,1714.24
Chennai,Tamil Nadu,Painter,6,1.29,14423,1519.96
Pune,Maharashtra,Electrician,15,0.65,10351,1840.52
Delhi,Delhi,Mason,9,1.24,10320,1566.4
Delhi,Delhi,Carpenter,11,0.58,17555,1360.1
Chennai,Tamil Nadu,Carpenter,15,1.39,13809,2115.68
Hyderabad,Telangana,Mason,11,0.81,13810,1575.7
Hyderabad,Telangana,Electrician,4,0.89,17311,1098.72
Delhi,Delhi,Painter,3,0.99,15263,1038.76
Delhi,Delhi,Painter,7,1.3,16950,1437.0
Delhi,Delhi,Painter,10,0.59,15767,1266.84
Delhi,Delhi,Electrician,3,1.16,12209,1118.18
Pune,Maharashtra,Mason,12,1.34,10466,1667.32
Hyderabad,Telangana,Carpenter,2,1.11,12451,976.52
Chennai,Tamil Nadu,Carpenter,7,0.93,8649,1207.48
Bangalore,Karnataka,Electrician,15,0.83,17660,1704.7
Delhi,Delhi,Painter,1,1.08,12204,869.08
Bangalore,Karnataka,Electrician,7,1.37,9420,1279.9
Pune,Maharashtra,Painter,14,0.54,13016,1615.32
Pune,Maharashtra,Electrician,15,1.24,8861,1669.22
Delhi,Delhi,Electrician,12,0.72,13502,1664.04
Delhi,Delhi,Painter,12,1.26,11005,1635.1
Hyderabad,Telangana,Mason,7,1.48,19521,1738.42
Hyderabad,Telangana,Painter,8,0.79,18064,1485.78
Chennai,Tamil Nadu,Painter,10,0.89,15000,1716.5
Pune,Maharashtra,Carpenter,3,0.73,19524,954.98
Hyderabad,Telangana,Electrician,3,0.84,9315,1011.3
Chennai,Tamil Nadu,Electrician,4,1.47,16197,1410.44
Bangalore,Karnataka,Carpenter,2,1.27,10508,959.66
Delhi,Delhi,Carpenter,7,1.02,8341,1408.82
Bangalore,Karnataka,Carpenter,10,1.29,13798,1629.46
Pune,Maharashtra,Painter,13,1.17,11797,1829.44
Delhi,Delhi,Electrician,12,0.77,19378,1812.06
Bangalore,Karnataka,Mason,5,1.02,14557,1086.14
Delhi,Delhi,Carpenter,6,1.2,11777,1171.54
Bangalore,Karnataka,Electrician,1,0.63,9933,735.16
Bangalore,Karnataka,Carpenter,4,0.83,10564,1156.78
Bangalore,Karnataka,Mason,10,1.07,14309,1642.68
Hyderabad,Telangana,Carpenter,2,1.27,18102,1003.54
Hyderabad,Telangana,Painter,14,1.1,16582,1713.64
Pune,Maharashtra,Electrician,4,1.07,8793,1280.36
Delhi,Delhi,Electrician,6,0.63,12262,1048.74
Bangalore,Karnataka,Painter,3,0.55,12622,793.94
Pune,Maharashtra,Painter,3,0.84,15382,1291.64
Chennai,Tamil Nadu,Painter,12,0.85,16498,1532.46
Chennai,Tamil Nadu,Electrician,3,1.24,12713,1282.26
Pune,Maharashtra,Painter,11,1.18,14194,1606.88
Delhi,Delhi,Mason,14,0.68,12448,1703.96
Pune,Maharashtra,Electrician,10,1.41,10928,1491.06
Hyderabad,Telangana,Electrician,8,0.88,16773,1401.46
Delhi,Delhi,Electrician,8,0.64,11087,1101.74
Chennai,Tamil Nadu,Electrician,15,1.2,18023,1929.46
Hyderabad,Telangana,Carpenter,11,0.92,17888,1824.76
Hyderabad,Telangana,Painter,15,0.92,9424,1594.48
Delhi,Delhi,Electrician,2,0.71,15177,1161.04
Bangalore,Karnataka,Painter,10,0.69,12232,1488.14
Chennai,Tamil Nadu,Mason,6,1.19,15147,1312.44
Pune,Maharashtra,Electrician,7,1.23,15980,1325.1
Delhi,Delhi,Electrician,2,0.95,14713,856.76
Chennai,Tamil Nadu,Painter,1,0.67,11561,1043.72
Bangalore,Karnataka,Carpenter,5,1.38,9749,1346.98
Chennai,Tamil Nadu,Painter,12,1.11,12279,1724.08
Delhi,Delhi,Mason,13,1.2,12018,1759.36
Pune,Maharashtra,Carpenter,5,0.89,13341,1027.32
Bangalore,Karnataka,Electrician,14,0.86,10797,1507.94
Delhi,Delhi,Painter,4,1.3,15538,1257.76
Hyderabad,Telangana,Mason,14,1.05,17071,2026.92
Chennai,Tamil Nadu,Mason,15,0.73,8984,1721.18
Delhi,Delhi,Electrician,15,0.85,14865,1726.8
Bangalore,Karnataka,Mason,8,1.07,12633,1565.16
Bangalore,Karnataka,Electrician,8,1.3,9500,1431.0
Delhi,Delhi,Electrician,1,1.32,13836,968.72
Delhi,Delhi,Carpenter,10,1.35,15743,1481.36
Pune,Maharashtra,Mason,11,1.15,17754,1809.58
Hyderabad,Telangana,Carpenter,12,0.73,10901,1619.52
Bangalore,Karnataka,Mason,12,0.92,19771,1749.42
Bangalore,Karnataka,Carpenter,2,0.95,9200,1090.5
Bangalore,Karnataka,Mason,8,1.09,16300,1279.5
Hyderabad,Telangana,Carpenter,8,1.26,15441,1459.82
Chennai,Tamil Nadu,Mason,4,0.51,17911,1190.72
Delhi,Delhi,Electrician,12,0.78,14488,1535.76
Delhi,Delhi,Mason,7,0.64,10684,1230.68
Hyderabad,Telangana,Painter,3,0.69,15187,1244.24
Delhi,Delhi,Mason,11,1.3,16370,1664.4
Delhi,Delhi,Painter,1,0.77,16747,793.44
Bangalore,Karnataka,Electrician,12,1.41,16900,1629.5
Pune,Maharashtra,Electrician,3,0.75,14745,975.4
Pune,Maharashtra,Electrician,14,0.89,12474,1647.98
Hyderabad,Telangana,Mason,9,1.5,18204,1843.08
Hyderabad,Telangana,Painter,12,0.63,9619,1430.88
Bangalore,Karnataka,Carpenter,12,0.59,17908,1458.66
Delhi,Delhi,Electrician,14,1.42,18663,2063.26
Pune,Maharashtra,Painter,7,1.06,14846,1269.92
Bangalore,Karnataka,Painter,15,0.94,8279,1562.58
Bangalore,Karnataka,Electrician,7,1.07,19272,1610.94
Delhi,Delhi,Mason,7,1.18,14769,1601.38
